ID,BANK,IFSC_CODE,MICR_CODE,BRANCH,ADDRESS,CONTACT,CENTRE,DISTRICT,STATE
CRUB0000013,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000013,422805201,SANGAMNER,"OFFICE NO. 102, MALPANI PLAZA, SANGAMNER, DIST. AHEMADNAGAR,STATE:MAHARASHTRA-422605",9422332932 : CONTACT PERSON:MR KOKATE M.A. - BM  2425223154,SANGAMNER,AHMADNAGAR,MAHARASHTRA
CRUB0000014,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000014,431840003,BEED BYPASS AURANGABAD,"K.P.COMPLEX, SATARA PARISAR, GUT NO. 141, NEAR MHASKE PETROL PUMP, BEED BYPASS ROAD, AURANGABAD, DIST. AURANGABAD,STATE:MAHARASHTRA - 431005",9422240586 : CONTACT PERSON:MR REWADKAR O.R. - BM 2402653342,AURANGABAD,AURANGABAD,MAHARASHTRA
CRUB0000015,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000015,431840152,AMBAJOGAI,"MONDHA, AMBAJOGAI, DIST. BEED,STATE: MAHARASHTRA - 431517",8275058567 : CONTACT PERSON:MR SHINDE J.M.- BM 2446244471,AMBAJOGAI,BID,MAHARASHTRA
CRUB0000016,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000016,431840504,ASHTI,"MIDC ROAD, ASHTI, DIST.BEED,STATE: MAHARASHTRA -414203",8275058583 : CONTACT PERSON:MR KHAIR S.D.- BM 2441283154,ASHTI,BID,MAHARASHTRA
CRUB0000017,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000017,414816501,SHEVGAON,"NEVASA ROAD, SHEVGAON, DIST. AHEMADNAGAR,STATE: MAHARASHTRA -414502",8275058582 : CONTACT PERSON:MR BHARATE P.G.- BM 2429221054,SHEVGAON,AHMADNAGAR,MAHARASHTRA
CRUB0000018,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000018,431840506,SHIRUR (KASAR),"MAIN ROAD, SHIRUR(KASAR) DIST. BEED, STATE: MAHARASHTRA -413249",8275058595 : CONTACT PERSON:MR JADHAV P.P.- BM 2444259154,SHIRUR,BID,MAHARASHTRA
CRUB0000019,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000019,431840505,PATODA,"NAGAR ROAD, PATODA, DIST. BEED,STATE:MAHARASHTRA - 414204",9404040422 : CONTACT PERSON:MR GHODKE D.J. - BM 2444242154,PATODA,BID,MAHARASHTRA
CRUB0000020,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000020,411065254,CHAKAN,"NANEKARWADI, SHIVAJI CHOWK, CHAKAN, DIST. PUNE,STATE: MAHARASHTRA - 410501",9422240579 : CONTACT PERSON:MR YEDE S.D. - BM 2135249124,CHAKAN,PUNE,MAHARASHTRA
CRUB0000021,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000021,411065253,WAGHOLI,"MAULI NIWAS, WAGHOLI, TAHSIL-HAVELI, DIST.PUNE, STATE: MAHARASHTRA -412207",9422240625 : CONTACT PERSON:MR AHER S.G. - BM 2027050054,WAGHOLI,PUNE,MAHARASHTRA
CRUB0000022,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000022,431840004,WALUJ,"PLOT NO.P-142, MIDC WALUJ, DIST. AURANGABAD, STATE: MAHARASHTRA - 431136",8275080699 : CONTACT PERSON:MR KARPE D.K. - BM 2402556154,WALUJ,AURANGABAD,MAHARASHTRA
CRUB0000024,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000024,431840305,CANAL ROAD BEED,"CANAL ROAD, BEED, DIST. BEED,STATE:MAHARASHTRA - 431122",8275080712 : CONTACT PERSON:MR GAVHANE R.K. - BM 2442223154,BHID,BID,MAHARASHTRA
CRUB0000009,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000009,431840503,PAITHAN,"COURT ROAD, PAITHAN, TQ. PAITHAN, DIST. AURANGABAD",8275080677 : CONTACT PERSON:MR CHANDANSHIV S.K.-BM,PAITHAN,AURANGABAD,MAHARASHTRA
CRUB0000012,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000012,413840052,LATUR,"PADILE COMPLEX, DIST. LATUR",9423690954 : CONTACT PERSON:MR BHAGAT D.B. -BM 2382227798,LATUR,LATUR,MAHARASHTRA
CRUB0000023,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000023,431840508,AMBAD,"MAHAVEER CHOWK, BEED ROAD, AMBAD, DIST. JALNA",8275080711 : CONTACT PERSON:MR DEOKAR R.D - BM 2483221454,AMBAD,JALNA,MAHARASHTRA
CRUB0000025,Shri Chhatrapati Rajarshi Shahu Urban Co-Op Bank Ltd,CRUB0000025,431840507,KALLAM,"DHOKI ROAD, KALLAM, DIST. OSMANABAD.",8275080713 : CONTACT PERSON:MR BIYANI N.C. -BM 2473262654,KALLAM,OSMANABAD,MAHARASHTRA
